index,student_id,full_name,date_of_birth,grade_level,emergency_contact,edad
123,s00149,nicholas pope,2015-08-06,3,(831)807-6360,10
124,s00152,hannah baker,2017-12-30,5,753.218.2172x24296,8
125,s00153,megan noble,2014-07-06,2,001-381-959-6172x50580,11
126,s00155,sean baker,2006-06-04,3,+1-787-416-9684x743,19
127,s00156,joy wilkins,2010-01-03,4,526-468-0151,15
128,s00157,derrick hall,2011-12-14,3,(310)810-9893,14
129,s00158,jordan compton,2017-08-18,3,665-811-6217x4175,8
130,s00159,erika johnson,2013-03-19,1,+1-959-683-5469,12
131,s00160,robert gibson,2017-02-22,5,(933)503-5929,8
132,s00161,jill valdez,2014-12-07,2,795.872.7881x0527,11
133,s00162,robert baxter,2017-10-11,3,001-863-830-8594x551,8
134,s00164,angela gregory,2012-01-06,2,001-891-678-9593x0460,13
135,s00165,christina parker,2008-04-11,4,+1-977-523-3238x06614,17
136,s00167,mrs. jody campbell,2016-08-17,5,001-686-784-4423x112,9
137,s00168,abigail ochoa,2018-10-25,1,(368)454-1821x04368,7
138,s00170,krista stewart,2014-03-16,5,(896)209-8455x29533,11
139,s00171,james davila,2017-10-29,2,(688)489-9712x0262,8
140,s00172,julia barnes,2008-09-07,2,(601)455-2938x238,17
141,s00173,gregory santos,2013-08-20,3,(241)669-8148x705,12
142,s00174,michael smith,2015-12-24,2,681.424.0282,10
143,s00175,cynthia torres md,2007-03-31,4,800-949-7526,18
144,s00176,tyler adams,2010-10-29,3,667.534.7289x3502,15
145,s00178,jessica roberson,2013-08-02,1,(260)676-8371x68947,12
146,s00179,christopher carter,2018-09-03,3,(510)575-9055,7
147,s00180,carla allen,2016-07-19,5,531.749.0576x22563,9
148,s00182,jimmy mcintosh,2012-10-28,1,+1-435-633-7347x300,13
149,s00185,roy booth,2012-07-16,2,+1-903-789-9676x5480,13
150,s00186,holly moore,2012-01-04,5,718-580-3296x7478,13
151,s00187,john williams,2018-07-17,4,828-813-7149,7
152,s00188,jeffrey barnes,2007-10-24,2,001-945-460-9376x3464,18
153,s00189,morgan diaz,2018-03-02,2,520-367-1169,7
154,s00190,daniel baxter,2011-12-04,5,234-764-3911x11140,14
155,s00191,samantha jackson,2018-07-30,2,+1-790-429-5919,7
156,s00192,christy frazier,2011-12-19,2,(970)453-3104x56607,14
157,s00193,molly davis,2014-08-05,4,5124777785,11
158,s00194,barbara frederick,2018-05-22,4,(706)342-9995x1816,7
159,s00195,rita sosa,2017-01-05,4,+1-518-233-3212x61085,8
160,s00196,anna good,2011-12-07,3,679.646.8286,14
161,s00197,john mclaughlin,2014-05-25,2,(343)333-2472x10828,11
162,s00199,renee hunt,2012-10-06,3,+1-594-219-9144x5443,13
163,s00200,daniel stewart,2012-02-17,4,001-305-566-2294x5737,13
164,s00201,thomas pugh,2013-02-16,5,001-264-519-1497x5267,12
165,s00202,laura smith,2007-04-28,5,001-645-566-2214,18
166,s00203,andrew shepard,2012-01-07,1,001-557-429-5075x77641,13
167,s00205,danielle carter,2010-04-23,3,(433)366-0330x826,15
168,s00206,suzanne gilbert,2007-07-28,1,206-978-0922x211,18
169,s00207,samantha phillips,2018-06-23,5,2649115307,7
170,s00208,troy dudley,2014-02-02,4,503-749-2823x815,11
171,s00209,daniel bennett,2010-04-17,4,721-981-9285,15
172,s00210,brenda butler,2011-07-25,4,+1-523-771-7577x9540,14
173,s00211,jessica west,2013-07-11,5,893-397-0073x2346,12
174,s00214,allison cruz,2016-01-01,2,805.208.5816,9
175,s00216,stephen vaughn,2017-10-25,3,(658)363-4611x8929,8
176,s00217,donna taylor,2015-09-22,4,321.887.8509x8401,10
177,s00218,lisa cooley,2015-12-02,1,001-272-535-1555,10
178,s00219,jonathan ward,2014-01-01,1,001-375-505-5283x749,11
179,s00220,wanda sanchez,2007-08-31,1,001-714-469-7556x5445,18
180,s00221,christopher maynard,2016-08-22,3,6376071193,9
181,s00224,jennifer malone,2011-10-20,3,(525)663-5545x82012,14
182,s00225,dennis ibarra,2009-09-14,3,001-570-410-7520,16
183,s00227,nicholas wright,2008-04-16,3,646.560.0649x02718,17
184,s00228,glenn ashley,2017-06-23,3,726-345-0839x3632,8
185,s00229,debbie cooper,2015-07-26,3,2002173660,10
186,s00230,christopher haynes,2011-05-19,1,497-228-2883x20003,14
187,s00232,clayton luna,2007-01-26,4,001-318-352-4768x11966,18
188,s00234,ronald wood,2018-04-10,3,(333)546-0697,7
189,s00236,anne waters,2006-04-07,2,682-416-8169x511,19
190,s00237,robert williams,2018-03-09,1,3642413213,7
191,s00238,jason fox,2013-04-02,4,448-664-9894,12
192,s00239,sean lane,2010-11-22,3,001-324-865-2857x931,15
193,s00240,eric baxter,2018-06-17,3,001-484-811-0130,7
194,s00242,sean brooks,2018-08-02,4,(557)289-8325,7
195,s00243,michael shepard,2009-11-02,1,001-673-502-6368,16
196,s00244,taylor davis,2007-04-05,4,(384)731-4544x38746,18
197,s00245,william norton,2009-03-14,5,307-422-1352x0283,16
198,s00246,jeffery smith,2015-02-07,4,(511)930-8599x9177,10
199,s00247,brittany mccarthy,2007-07-15,4,+1-891-914-3142,18
200,s00248,susan turner,2014-04-05,2,928.455.0769x80479,11
201,s00249,steven smith,2010-05-20,2,241-547-8604,15
202,s00250,william logan,2007-10-14,5,(429)396-8256x59884,18
203,s00251,amy simon,2014-09-27,2,(234)481-0848,11
204,s00252,michelle murphy,2012-07-07,5,(250)952-7519x2734,13
205,s00253,clifford bentley,2016-11-27,2,001-829-396-0463x5857,9
206,s00254,daniel bender,2010-05-16,4,001-249-996-1585x28916,15
207,s00255,spencer wilson,2017-01-01,1,001-651-459-2147x454,8
208,s00256,belinda holt,2006-09-11,2,230.522.1382,19
209,s00257,ralph kelly,2016-12-09,1,(696)272-4744,9
210,s00259,ashley nicholson,2009-06-06,3,739-959-0159,16
211,s00260,caitlyn davis,2011-07-16,4,(302)867-9917x3565,14
212,s00261,kevin smith,2017-03-30,1,001-969-500-0112,8
213,s00262,kyle luna,2012-12-01,3,339.313.4903,13
214,s00263,dawn hodge,2008-08-26,5,+1-371-803-6019x85442,17
215,s00264,antonio chung,2009-07-09,2,756.484.0271,16
216,s00265,tracy chandler,2008-08-11,3,+1-488-998-5404x29392,17
217,s00266,kimberly mercer,2019-02-04,3,656-516-3590x200,6
218,s00268,shawn owens,2014-02-11,1,+1-576-442-0241x658,11
219,s00270,katherine gill,2010-05-07,2,(607)343-5848x378,15
220,s00271,todd anderson,2010-10-21,1,+1-714-998-1989x7647,15
221,s00272,nicholas boone,2013-03-03,3,+1-962-556-7663x579,12
222,s00273,natalie burke,2014-09-07,1,001-666-687-4187,11
223,s00275,christopher turner,2013-06-12,2,+1-380-412-8990x924,12
224,s00276,megan flores,2018-12-25,3,(761)315-0354x9210,7
225,s00277,cheryl mason,2016-04-21,4,744.605.2373,9
226,s00278,matthew mejia,2014-05-03,5,+1-885-808-8424x487,11
227,s00280,christopher lopez,2011-09-07,4,+1-514-575-5938x1699,14
228,s00281,kimberly woods,2018-02-19,1,+1-788-448-5766x13591,7
229,s00282,james fuller,2016-08-29,3,3514503724,9
230,s00283,keith booker,2011-09-27,5,462.559.6562,14
231,s00284,cheryl green,2009-06-26,4,001-798-466-2186x4297,16
232,s00285,chad wood,2012-04-10,5,993-249-9121,13
233,s00287,michael price,2006-11-18,3,266-863-7574,19
234,s00288,gary hudson,2006-11-21,4,502-708-6285x226,19
235,s00289,timothy hall,2008-07-01,3,001-264-771-4878,17
236,s00290,james camacho,2007-11-14,5,(635)518-9356x07862,18
237,s00291,victoria tucker,2013-06-27,4,926.830.9225x170,12
238,s00292,danny johnson,2016-03-27,3,610-645-4882,9
239,s00294,michelle barker,2016-07-07,5,001-314-557-2806,9
240,s00295,kyle lynch,2012-11-15,4,(262)631-6941x220,13
241,s00296,tracey murphy,2014-02-20,2,840.331.7845x984,11
242,s00297,jeremy ferguson,2014-06-21,4,478-672-6584x0960,11
243,s00298,jeffery gilmore,2017-03-20,3,(325)581-3080,8
244,s00299,laura smith,2011-01-16,1,913.401.4861x52246,14
245,s00300,ms. karen thomas md,2007-06-13,2,+1-760-286-9971,18
246,s00301,vanessa anderson,2014-07-13,3,501-423-1521x4109,11
247,s00303,abigail price,2006-11-01,2,+1-891-921-1661x00937,19
248,s00304,scott fleming,2013-04-14,1,+1-673-773-3905x982,12
249,s00305,victoria chambers,2006-07-11,5,001-630-432-4098,19
250,s00306,matthew butler,2008-01-24,2,(230)208-4513x51242,17
251,s00308,grace hardy,2007-06-18,2,001-336-679-5747x854,18
252,s00309,emma thompson,2009-07-20,3,229.280.9049,16
253,s00311,alexandra king,2010-08-04,4,5418616241,15
254,s00312,henry rhodes,2015-12-09,2,001-449-400-8653x305,10
255,s00313,angela davis,2012-04-27,2,+1-996-954-2014x44063,13
256,s00315,martin buck,2017-09-07,1,846-277-2933x880,8
257,s00316,taylor ferguson,2017-07-30,5,363.919.2666x3133,8
258,s00317,kelsey jones,2018-04-02,1,537.471.5009x643,7
259,s00318,matthew bass,2006-09-26,5,572.695.5618,19
260,s00319,katherine woods,2014-12-05,5,001-419-328-3771,11
261,s00320,tony hill,2014-01-01,3,624.750.5412x486,11
262,s00323,kathleen ewing,2007-07-29,1,880.323.2479x78369,18
263,s00324,brandon ewing,2012-05-17,4,220.238.7955x8518,13
264,s00328,janice carter,2013-12-15,3,(374)813-1643,12
265,s00329,mary mendez,2015-02-04,5,881.380.4666,10
266,s00330,christopher anderson,2013-05-24,4,+1-516-259-9758x518,12
267,s00332,cynthia hayden,2016-05-06,3,(814)730-5776,9
268,s00333,debra zhang,2018-02-18,2,9207149046,7
269,s00335,jessica kim,2018-03-01,4,772.244.3313x0822,7
270,s00336,kristin blake,2008-11-04,3,803.963.1286x51923,17
271,s00337,laura ramirez,2007-03-04,1,+1-512-445-6206x4650,18
272,s00338,mark vega,2013-02-24,4,6364023798,12
273,s00339,hannah black,2015-04-25,5,+1-364-491-7527x51134,10
274,s00340,daniel santos jr.,2016-03-22,3,272-854-3014,9
275,s00342,roberto lowe,2017-04-15,4,5912796050,8
276,s00343,aaron edwards,2010-05-30,1,459.591.0894x6660,15
277,s00344,nicholas hickman,2012-12-31,3,799-640-4267x2583,13
278,s00345,ronald sullivan,2009-12-06,1,425-209-0599,16
279,s00346,todd day,2018-05-12,2,(720)886-8293,7
280,s00347,debbie brooks,2018-03-17,4,(931)438-9442x09684,7
281,s00348,lauren hansen,2009-11-01,4,971.980.9492,16
282,s00349,elizabeth mitchell,2007-03-18,2,687.280.4805,18
283,s00350,vanessa ryan,2009-05-03,5,453.265.4168x810,16
284,s00352,laura bailey,2010-11-25,1,391-497-3088,15
285,s00353,mary schneider,2014-11-25,3,2072847846,11
286,s00354,shawna johnson,2007-03-29,5,001-532-880-7552x3135,18
287,s00355,elizabeth cruz,2007-06-08,5,+1-936-761-6582x16209,18
288,s00357,melissa mathis,2008-03-03,5,(305)841-5452x341,17
289,s00358,steven jackson,2012-02-11,2,980-869-3884x10686,13
290,s00359,anna lee,2015-02-19,1,(899)306-8746,10
291,s00360,zachary nguyen,2011-11-10,4,3217082166,14
292,s00362,donald taylor,2016-09-23,4,(832)941-0727,9
293,s00364,dr. brett hall,2010-06-10,2,8382537204,15
294,s00367,sean miller,2014-01-30,1,231-775-5967x81773,11
295,s00368,beth hammond,2012-03-27,2,751.485.8130,13
296,s00370,christopher knox,2017-03-06,1,730.387.4971,8
297,s00371,kyle smith,2015-11-13,1,(872)940-9360x86789,10
298,s00372,laura lopez,2013-07-16,4,+1-680-492-7358,12
299,s00373,lisa gray,2013-09-09,4,+1-399-535-5789x439,12
300,s00374,jessica price,2017-10-14,1,646.860.8453,8
301,s00377,christina king,2014-01-24,1,577.261.4710,11
302,s00378,william baker,2016-10-20,1,415.402.2549x3144,9
303,s00379,william white,2006-06-01,3,+1-921-867-1952x37917,19
304,s00381,dana robinson,2013-07-04,1,552-681-6994x5776,12
305,s00383,kristi allen,2014-10-09,1,(823)499-7234x728,11
306,s00384,melissa moore,2009-06-06,4,001-589-931-1524,16
307,s00385,alicia gonzalez,2009-12-03,2,570.833.8817x312,16
308,s00386,christopher wallace,2013-02-18,1,929.583.1673x770,12
309,s00387,christopher neal,2008-09-18,1,308.609.6304,17
310,s00388,grant maddox,2011-12-22,2,981.484.7611x46410,14
311,s00389,cameron gibson,2018-06-19,1,(221)288-4630x396,7
312,s00390,kimberly young,2018-09-09,2,+1-270-404-4954x2565,7
313,s00391,shelly garner,2009-10-14,4,+1-301-578-5593x28873,16
314,s00392,amanda wood,2009-07-03,2,325-307-8560x4498,16
315,s00394,steven barnes,2009-12-23,4,666-527-9237x49105,16
316,s00395,deborah russo,2014-08-30,3,4743138638,11
317,s00396,jeremy li,2015-05-16,1,246-255-8338x0462,10
318,s00397,mario pena,2013-09-19,2,+1-521-378-9806x43305,12
319,s00398,brian little,2018-02-04,3,(959)658-1376x65266,7
320,s00399,jennifer johnson,2012-05-27,1,001-323-873-1770x14109,13
321,s00400,ashley olsen,2008-03-15,1,001-908-644-3786x1955,17
322,s00401,justin vang,2007-10-27,3,959.297.5406x925,18
323,s00402,brian johnston,2013-06-04,4,001-782-310-1431,12
324,s00403,clinton moss,2009-01-31,1,+1-303-929-3017x74504,16
325,s00404,stacie jordan,2010-03-15,5,543-931-0299x2602,15
326,s00405,kyle silva,2007-02-19,2,001-335-495-6512x1006,18
327,s00406,gregory smith,2015-09-25,5,+1-363-517-4301,10
328,s00407,samantha martin,2011-04-05,1,(228)842-3513,14
329,s00408,kathleen singh,2014-02-08,2,(884)959-6930x7478,11
330,s00409,sarah mendoza,2017-06-11,5,+1-625-920-9989x0417,8
331,s00410,tracy hernandez,2017-06-05,4,994-497-5218x33233,8
332,s00412,jean baker,2017-10-13,5,+1-277-240-8437,8
333,s00413,susan schroeder,2013-08-25,3,+1-909-772-6947x1021,12
334,s00414,denise johnson,2013-02-17,5,366.876.5045,12
335,s00415,danielle williams,2008-03-03,4,001-415-523-8820x53122,17
336,s00416,dillon braun,2013-07-10,1,001-664-567-9106,12
337,s00417,nathan bowen,2012-02-09,1,001-742-957-6257x59773,13
338,s00420,amber ross,2007-06-19,5,406.880.4542x181,18
339,s00423,logan mckinney,2013-03-31,3,718.954.8983,12
340,s00424,nicholas adkins,2018-12-23,2,001-575-234-8371x7337,7
341,s00425,cody cantrell,2018-11-18,5,610-242-5658,7
342,s00426,mary moon,2018-10-05,2,+1-879-207-4122x31727,7
343,s00427,william brooks,2006-03-21,3,9454326662,19
344,s00428,jeremiah morgan,2006-08-03,1,6056878458,19
345,s00429,meghan prince,2006-05-15,3,316-250-2606,19
346,s00430,cole solis,2007-05-08,5,786.459.7748x15172,18
347,s00431,jodi jones,2017-07-17,2,396-712-2203x52658,8
348,s00432,nicholas house,2015-10-10,4,461.434.7483,10
349,s00434,leslie moody,2012-12-15,4,724-307-4403x50362,13
350,s00435,paul holloway,2008-09-26,1,453.798.9650,17
351,s00436,stephanie sexton,2012-02-05,5,901-608-1104x733,13
352,s00437,jason rodriguez,2018-04-24,5,9678744928,7
353,s00438,april duarte,2017-03-27,5,474-572-2446,8
354,s00439,pamela smith,2009-02-06,5,675.774.3478,16
355,s00440,melissa weiss,2018-09-22,5,731-909-2944,7
356,s00441,tony collins,2012-05-02,3,+1-938-463-1996,13
357,s00442,ryan robertson,2016-09-16,3,(251)230-2758,9
358,s00443,destiny lloyd,2014-04-28,5,699-204-3785x984,11
359,s00445,richard underwood,2013-06-02,4,660-206-9530x98823,12
360,s00446,miguel perez,2016-01-27,3,(398)922-2274,9
361,s00447,michael morris,2009-08-06,5,974.210.8663x283,16
362,s00448,rachel knight,2013-09-10,4,(885)951-3011x984,12
363,s00450,jared turner,2016-05-08,1,695.995.8462,9
364,s00451,kathryn jackson,2016-09-19,5,(507)282-7190x654,9
365,s00452,andrew juarez,2017-04-06,3,+1-269-500-0786x049,8
366,s00453,mackenzie barron,2012-08-09,5,945.385.9194,13
367,s00454,brian green,2010-12-06,3,001-631-770-4059x746,15
368,s00455,sarah peters,2013-06-05,2,(785)990-1482x05025,12
369,s00456,rhonda juarez,2015-12-13,3,(355)948-7247x936,10
370,s00457,jesus lawrence,2011-05-06,1,001-989-640-4995x4364,14
371,s00458,amber gray,2011-03-10,5,(926)725-4098x89457,14
372,s00459,maria miranda,2018-09-06,4,315-852-4257x755,7
373,s00461,jose young,2016-02-22,5,001-435-701-0998x0726,9
374,s00462,samantha potter,2009-05-30,3,863.791.0698x705,16
375,s00463,scott hamilton,2013-01-11,2,693-872-9292x121,12
376,s00464,ronald thompson,2018-09-17,1,001-327-205-5939x8628,7
377,s00465,henry long,2015-08-02,5,001-925-388-7543x539,10
378,s00466,ashley parsons,2013-04-12,2,731.954.3326x0796,12
379,s00467,zoe wright,2016-01-23,3,770-854-0560x47370,9
380,s00468,christopher dixon,2010-06-04,1,8223216819,15
381,s00469,lucas anderson,2013-09-12,5,001-562-325-3331,12
382,s00470,michael gomez,2013-04-28,5,001-341-493-7497x202,12
383,s00472,mrs. anita escobar,2014-09-06,3,001-904-630-5348,11
384,s00473,trevor black,2009-08-14,1,+1-885-916-5566x7012,16
385,s00474,riley lopez,2010-12-16,2,+1-389-801-4168x69241,15
386,s00475,amy perry,2007-10-26,2,9168939933,18
387,s00476,jacob ramirez,2007-08-23,5,001-353-681-9160x02500,18
388,s00478,jeremy davis,2012-07-05,1,+1-274-946-4584,13
389,s00479,nicole morgan,2015-12-14,4,001-576-492-4634x854,10
390,s00480,robert cook,2017-09-26,3,+1-332-725-8683,8
391,s00481,terri austin,2009-11-23,2,793.932.1526,16
392,s00484,nicholas turner,2007-02-23,3,(852)472-7127x6052,18
393,s00485,lisa villarreal,2016-09-08,3,+1-298-446-6469x54394,9
394,s00486,richard carter,2007-04-02,5,576.225.0960x4768,18
395,s00487,morgan fisher,2010-09-20,5,476.932.1125x1166,15
396,s00488,joshua cole,2007-08-09,1,(480)422-3843x03545,18
397,s00489,charles lopez,2017-05-16,5,500.493.8413x7603,8
398,s00490,matthew fleming,2015-03-18,1,889-482-6193x0895,10
399,s00491,kim roberts,2010-08-01,3,269-765-9430x884,15
400,s00492,lawrence jones,2010-06-14,3,227.834.2819x279,15
401,s00493,theodore leach,2018-02-28,1,+1-508-490-9533x490,7
402,s00494,hector macias,2011-06-21,5,497.773.6528x44158,14
403,s00496,victoria lopez,2014-10-09,2,+1-680-273-5320,11
404,s00497,patricia graham,2015-10-29,3,+1-220-588-1776x0562,10
405,s00498,briana jennings,2010-08-15,5,001-878-259-9601x31391,15
406,s00499,james lopez,2014-06-10,3,714.240.1893,11
407,s00500,christopher foster,2014-06-15,1,001-623-828-5362x32419,11
408,s00501,charles jones,2014-03-30,2,(639)594-2202x53104,11
409,s00502,patricia peterson,2012-09-01,5,707.354.9495x943,13
410,s00506,susan thomas,2013-04-13,5,4423205529,12
411,s00507,mark dixon,2012-12-20,3,+1-701-236-2271x79990,13
412,s00508,mrs. kaitlin west,2018-09-05,3,377.271.3222x92410,7
413,s00509,david johnson,2017-12-11,4,453-682-8511,8
414,s00511,william stanley,2014-11-24,4,001-344-843-9097,11
415,s00512,andrea thompson,2010-01-27,1,451-402-9268,15
416,s00513,ashley cunningham,2014-12-15,3,8935388808,11
417,s00514,amanda stephenson,2014-12-28,1,417.347.8040,11
418,s00515,david lawson,2018-07-24,1,+1-251-496-4264x54441,7
419,s00516,marisa baker,2019-02-26,1,001-607-866-4564,6
420,s00519,bonnie wilson md,2012-12-03,3,001-968-640-7770x73231,13
421,s00520,paul bowers,2016-03-14,5,+1-794-510-7260x8085,9
